Unique_study_nr;Moderator;First_author;Year;Paper_nr;Usability;Coder;Date_coded;int_T1;int_svar_T1;ostr_main_T1;ostr_main_svar_T1;mod_main_T1;mod_main_svar_T1;ostr_nomod_simple_main_T1;ostr_nomod_simple_main_svar_T1;ostr_mod_simple_main_T1;ostr_mod_simple_main_svar_T1;mod_ostr_simple_main_T1;mod_ostr_simple_main_svar_T1;mod_incl_simple_main_T1;mod_incl_simple_main_svar_T1;int_T2;int_svar_T2;ostr_main_T2;ostr_main_svar_T2;mod_main_T2;mod_main_svar_T2;ostr_nomod_simple_main_T2;ostr_nomod_simple_main_svar_T2;ostr_mod_simple_main_T2;ostr_mod_simple_main_svar_T2;mod_ostr_simple_main_T2;mod_ostr_simple_main_svar_T2;mod_incl_simple_main_T2;mod_incl_simple_main_svar_T2;Country;Incentive;SampleRestrict;PropSex;N;AgeM;AgeSD;n11;n12;n21;n22;SubjectDesign;ConditionDesign;Dichotomized;ConditionAssignment;Part_Quasi;GameType;PlayersGame;ObjectExcl;PlayerMatching;Excluder;ExclusionSess;FormExcluded;CrossCutVar;ModType;OrderCyberCross;ParticSelect;RandomDV;xReceive;ThrowLast;SelFinal1;NeedScale;Dvfirst;Needs1;Expect1;Reliability1;M11_1;SD11_1;M12_1;SD12_1;M21_1;SD21_1;M22_1;SD22_1;SelFinal2;Dvlast;Needs2;Expect2;Reliability2;M11_2;SD11_2;M12_2;SD12_2;M21_2;SD21_2;M22_2;SD22_2;Nr_of_measures;Item_number;Add_time;Time_est;H1_incl;H2_incl;Model_immediate;Paper_immediate;Model_delayed;Paper_delayed;Imm_Need_thr_aanwezig;Prec_mancheck;Prec_mancheck
21;1;Gonsalkorale;2007;18;Y;CH;20130125;0.48565278;0.302809941;-3.033039062;0.132317076;-0.1374489;0.061698355;-1.30957788;0.141060931;-1.666890939;0.16174901;-0.280425478;0.116267662;0.192797824;0.118915348;1.314986499;0.248976907;-0.84974379;0.067107373;-102.0928279;80.23805691;0.258980537;0.116092396;-0.964985726;0.132884511;-5.426283526;0.56120576;-3.120298678;0.270463673;2;1;0;0.268041237;97;19.56;2.97;16;17;16;16;1;4;0;1;0;1;3;1;0;1;1;1;2;1;0;0;0;1;30;;NA;1;2;1;0.91;2.25;1.16;2.59;1.2;4.17;1.08;3.98;0.82;;1;0;1;;7.875;11.96035;72.3529;11.19677;22.3125;16.75597;69.25;12.15182;5;17;0;102;1;1;1;1;0;0;1;1;1
22;1;Goodwin;2010;20;Y;CH;20130125;0.204568183;0.084956573;-3.784511392;0.039275242;-0.409136367;0.013650355;-1.811830756;0.042381366;-1.96394683;0.042575207;-0.287996036;0.041890058;-0.10515029;0.019561444;-0.425306235;0.065103758;-1.432610477;0.018824986;0.383565344;0.013616571;-0.944206541;0.033961632;-0.494200295;0.031142127;0.28939082;0.041894297;-0.054425916;0.019541701;1;3;1;0.24;300;NA;NA;46;49;112;93;1;3;0;1;0;1;3;1;1;1;1;1;2;1;0;0;0;2;15;1;NA;1;1;1;0.85;2.13;0.74;2.37;0.9;3.69;0.81;3.77;0.69;1;1;1;1;0.85;3.46;1.16;3.12;1.17;3.91;0.78;3.95;0.67;10;22;0;132;1;1;1;1;1;1;1;1;1
23;1;Goodwin;2010;20;Y;CH;20130125;0.350151953;0.056272485;-0.116717318;0.012765199;-3.559878186;0.034356223;0.131721835;0.019226913;-0.194710542;0.037045571;-1.887363887;0.040309985;-1.655653512;0.036005656;-0.100281925;0.056075097;-0.042977968;0.012746448;-1.065045523;0.015982957;-0.089765027;0.019204467;0.021789087;0.03687063;-0.434417455;0.02935731;-0.628037172;0.028672038;1;3;1;0.26;314;NA;NA;52;102;55;105;1;3;0;1;0;1;3;1;1;1;1;1;2;1;0;0;0;2;15;1;NA;1;1;1;0.85;2.32;0.88;3.66;0.6;2.48;0.75;3.58;0.61;1;1;1;1;0.85;3.46;1.04;3.79;0.56;3.44;0.77;3.84;0.55;10;22;0;132;1;1;1;1;1;1;1;1;1
25;1;Hawes;2012;23;Y;CH;20130126;0.001936518;0.383576227;-2.767283792;0.142368228;0.11812758;0.073071153;-2.157327586;0.232920205;-1.098451737;0.150656022;0.050551903;0.134709744;0.069910542;0.138821962;-1.049751587;0.283885951;0.512073945;0.075135138;0.135556239;0.073111347;0.686866526;0.152491807;-0.299010537;0.131394144;0.847887832;0.147501856;-0.089199158;0.138878796;2;0;0;0.47;55;10;0.917;15;13;14;13;1;2;0;1;1;1;3;1;1;1;1;1;3;-1;-1;0;0;1;20;1;1;1;1;1;0.77;21.93;7.25;22.23;3.2;29.07;5.09;29.38;3.2;;3;0;1;;2.93;0.7;3.69;1.03;3.14;0.66;3.08;0.64;5;11;0;66;1;1;1;1;0;0;1;0;0
27;1;Kassner;NA;178;Y;CH;20130305;-0.873836237;0.314720727;-4.603943161;0.171749412;-0.474740881;0.048443275;-1.717290788;0.129639738;-2.930216008;0.185080989;0.246401401;0.092422109;-0.57477796;0.093347119;-0.304452894;0.21363399;-2.362305922;0.079891745;-0.220415409;0.047403299;-1.018049662;0.106314585;-1.320282705;0.107319405;0.046746844;0.091725342;-0.254579037;0.090259221;1;1;0;0.305882353;85;19.65;1.461;22;20;22;21;1;2;0;1;0;1;3;1;0;1;1;1;3;-1;0;0;0;1;30;;2;1;2;1;0.904;1.827;0.63635;1.98;0.57638;3.927;0.76413;3.41;0.99091;;1;2;1;0.847;2.382;0.797370679;2.42;0.7960402;3.455;0.797370679;3.248;0.797368171;4;16;0;96;1;1;1;1;0;0;1;0;
29;;Jamieson;2010;26;Y;CH;20130129;NA;NA;-1.501395975;0.155366513;NA;NA;-1.555420132;0.151627041;NA;NA;NA;NA;NA;NA;NA;NA;-1.024819626;0.13712508;NA;NA;-1.061695319;0.132049241;NA;NA;NA;NA;NA;NA;1;1;0;0.515151515;33;NA;NA;;16.5;;16.5;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;20;;1;1;2;1;NA;;;2.16;1.01;;;3.88;1.14;;1;2;1;;;;2.88;1.21;;;4.12;1.06;4;20;0;120;1;0;;;;;;;1
30;;Jamieson;2010;26;Y;CH;20130129;NA;NA;-1.912395436;0.08571512;NA;NA;-1.942795848;0.085200939;NA;NA;NA;NA;NA;NA;NA;NA;-1.443755738;0.074150225;NA;NA;-1.466706415;0.073265439;NA;NA;NA;NA;NA;NA;1;1;0;0.397058824;68;NA;NA;;34;;34;1;2;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;20;;1;1;2;1;NA;;;2.25;0.97;;;4.08;0.89;;1;2;1;;;;2.65;1.02;;;4.12;0.96;4;20;0;120;1;0;;;;;;;
31;;Kassner;2012;28;Y;CH;20130129;NA;NA;-2.06506844;0.125148037;NA;NA;-2.112144308;0.124441268;NA;NA;NA;NA;NA;NA;NA;NA;-1.738159315;0.112461202;NA;NA;-1.777782873;0.111169415;NA;NA;NA;NA;NA;NA;1;1;0;0.326530612;49;20.82;1.27;;24.5;;24.5;1;1;0;1;0;1;3;1;0;2;1;1;0;0;NA;0;0;1;30;;1;1;2;1;0.87;;;2.01;0.75;;;3.97;1.05;;1;0;1;0.88;;;2.78;0.74;;;3.99;0.59;5;18;0;108;1;0;;;;;;;
32;1;Pharo;2011;37;Y;CH;20130130;-1.007571581;0.298225665;-3.638638898;0.143511439;0.873675025;0.059251054;-1.330395561;0.130834376;-2.247687114;0.167391289;0.818980044;0.112352633;-0.078378329;0.103979333;-0.837705147;0.233747151;-1.934699982;0.079345027;0.997529339;0.060816978;-0.583611381;0.110982291;-1.288599523;0.12276486;0.790353207;0.111730064;0.090681538;0.104007441;2;2;0;0.5;74;NA;NA;18;19;20;17;1;3;0;1;1;1;4;1;1;1;1;1;3;-1;-1;0;0;2;30;;1;1;2;1;0.83;6.61;3.39411255;9.42;3.312763197;13.55;2.638560213;13.35;2.30893915;;1;2;1;0.83;8.78;3.733523805;11.53;3.05122926;12.95;2.549117494;13.18;2.391401263;4;22;0;132;1;1;1;1;0;0;1;1;
33;;Salvy;2010;40;Y;CH;20130130;NA;NA;-1.425032943;0.085025574;NA;NA;-1.451475615;0.083824923;NA;NA;NA;NA;NA;NA;NA;NA;-1.408385002;0.084625823;NA;NA;-1.434518758;0.083410199;NA;NA;NA;NA;NA;NA;1;3;1;0.338983051;59;13.55;NA;;29;;30;1;2;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;;1;1;2;-1;NA;;;7.67;3.33;;;3.93;1.41;;1;2;-1;;;;13.56;1.5;;;9.82;3.29;5;5;0;30;1;0;;;;;;;
